	latitude	longitude
CP	42.3928	85.3806
HSP	42.3926	85.3807
KBSF	42.4036	85.4004
PL10	42.4097	85.3941
PL11	42.4094	85.3941
PL15	42.4097	85.3937
PL16	42.41	85.3937
PL17	42.4103	85.3937
PL18	42.4107	85.3937
PL2	42.4094	85.3945
PL4	42.41	85.3946
PL6	42.4106	85.3946
PL8	42.4103	85.3941
PM2	42.3765	85.3635
PM3	42.3755	85.3629
QP	42.4713	85.4631
R	42.4093	85.3927
SP	42.4094	85.3922
PM1	42.3755	85.3594
